apple|苹果
afternoon|下午
autumn|秋天
america|美国
answer|答案
age|年龄
address|地址
airport|机场
app|应用程序
art|艺术
adventure|冒险
achievement|成就
ability|能力
angry|生气的
afraid|害怕的
anatomy|解剖学
antibody|抗体
atom|原子
acceleration|加速度
analysis|分析
atmosphere|大气层
algorithm|算法
application|应用程序
artificial|人工的
appliance|电器
air|空调
allergy|过敏
automobile|汽车
airplane|飞机
assignment|作业
accept|接受
achieve|实现
acquire|获得
adapt|适应
adjust|调整
admire|钦佩
admit|承认
adopt|采用
affect|影响
afford|负担得起
agree|同意
allow|允许
analyze|分析
announce|宣布
apologize|道歉
apply|申请
argue|争论
arrange|安排
arrest|逮捕
arrive|到达
ask|问
assist|协助
associate|联系
assume|假设
assure|保证
attach|附上
attack|攻击
attempt|尝试
attend|参加
attract|吸引
avoid|避免
able|能够的
absent|缺席的
absolute|绝对的
accurate|准确的
active|活跃的
actual|实际的
adequate|足够的
adjacent|相邻的
admin|管理的
adult|成年的
advanced|高级的
aggressive|侵略的
agricultural|农业的
alert|警觉的
alive|活着的
alone|单独的
amazing|惊人的
ambitious|有雄心的
ancient|古代的
anxious|焦虑的
appropriate|适当的
ashamed|羞愧的
asleep|睡着的
available|可用的
average|平均的
aware|意识到的
awful|糟糕的
accountant|会计
actor|演员
actress|女演员
architect|建筑师
artist|艺术家
athlete|运动员
ant|蚂蚁
arm|手臂
aunt|阿姨
advice|建议
anger|愤怒
abandon|放弃
abolish|废除
absorb|吸收
abuse|滥用
accelerate|加速
accompany|陪伴
accomplish|完成
account|说明
accumulate|积累
accuse|指控
acknowledge|承认
activate|激活
add|添加
administer|管理
advance|前进
advertise|广告
advise|建议
aid|帮助
aim|目标
alarm|警报
alienate|疏远
allege|声称
allocate|分配
alter|改变
amaze|使惊奇
amend|修正
amount|总计
analyse|分析
annoy|使烦恼
appeal|呼吁
appear|出现
applaud|鼓掌
appoint|任命
appreciate|欣赏
approach|接近
approve|批准
arise|出现
ascend|上升
assemble|组装
assess|评估
attain|达到
attribute|归因
auction|拍卖
await|等待
awake|唤醒
award|授予
abdomen|腹部
abide|遵守
abstract|抽象的
absurd|荒谬的
abundant|丰富的
access|进入
accommodate|容纳
accord|一致
acid|酸
acquaint|使熟悉
acute|急性的
addict|上瘾
adhere|粘附
admirable|令人钦佩的
admission|准入
adolescent|青少年
adore|崇拜
adverse|不利的
advocate|提倡
affection|喜爱
affiliate|隶属
affirm|确认
afflict|折磨
aggravate|恶化
agony|痛苦
agreeable|令人愉快的
ailment|疾病
airborne|空中的
aisle|过道
album|相册
alien|外国的
alike|相似的
allergic|过敏的
alleviate|减轻
alliance|联盟
allowance|津贴
ally|盟友
alternate|交替的
alternative|替代方案
altitude|高度
aluminum|铝
amateur|业余的
ambassador|大使
ambiguous|模糊的
ambition|雄心
ambulance|救护车
amid|在...中
ample|充足的
amplify|放大
analogy|类比
ancestor|祖先
anchor|锚
anecdote|轶事
anguish|痛苦
anniversary|周年纪念
annual|年度的
anonymous|匿名的
anticipate|预期
anxiety|焦虑
apart|分开
apology|道歉
apparent|明显的
appetite|食欲
applicant|申请人
appraise|评估
approximate|大约的
aptitude|天赋
arbitrary|任意的
arctic|北极的
ardent|热心的
armistice|停战
aroma|香气
arouse|唤醒
arrogant|傲慢的
arrow|箭
artillery|大炮
ascertain|查明
aspect|方面
aspirin|阿司匹林
assault|攻击
assert|断言
assign|分配
asteroid|小行星
astronaut|宇航员
astronomy|天文学
athletic|运动的
atlas|地图集
attitude|态度
audience|观众
audit|审计
august|威严的
authentic|真实的
authority|权威
automate|自动化
avert|避免
aviation|航空
awesome|令人敬畏的
awkward|尴尬的
axis|轴
argon|元素周期表的第18个，氬，缩写Ar
arsenic|元素周期表的第33个，砷，缩写As
antimony|元素周期表的第51个，銻，缩写Sb
astatine|元素周期表的第85个，砈，缩写At
actinium|元素周期表的第89个，錒，缩写Ac
americium|元素周期表的第95个，鋂，缩写Am
act|行动
action|行动，动作
actively|积极地
addition|添加，加法
additional|额外的
additionally|此外
analytical|分析的
analytically|分析地
ably|能干地
algorithmic|算法的
algorithmically|算法地
algorithmize|算法化
artistic|艺术的
artistically|艺术地
artify|使艺术化
anxietize|使焦虑
attitudinal|态度的
attitudinally|态度地
attitudinize|形成态度
anxiously|焦虑地
adaptation|适应
adaptive|适应的
adaptively|适应地
apoptosis|细胞凋亡
apoptoses|细胞凋亡
apoptotic|细胞凋亡的
apoptotically|细胞凋亡地
antibodies|抗体
antibodily|抗体地
algae|藻类
alga|藻类
algal|藻类的
algally|藻类地
arctics|北极
arctically|北极地
aquatic|水生的
aquatics|水生生物
aquatically|水生地
arboreal|树栖的
arboreals|树栖生物
arboreally|树栖地
afforestation|造林
afforestations|造林
afforestationally|造林地
acidification|酸化
acidifications|酸化
acidificational|酸化的
acidificationally|酸化地
autotrophic|自养的
autotrophs|自养生物
autotrophically|自养地
amino|氨基
amines|胺
aminoic|氨基的
aminoically|氨基地
anabolism|合成代谢
anabolisms|合成代谢
anabolic|合成代谢的
anabolically|合成代谢地
americas|美国
american|美国的
americanly|美国地
australia|澳大利亚
australias|澳大利亚
australian|澳大利亚的
australianly|澳大利亚地
argentina|阿根廷
argentinas|阿根廷
argentinian|阿根廷的
argentinianly|阿根廷地
afghanistan|阿富汗
afghanistans|阿富汗
afghan|阿富汗的
afghanly|阿富汗地
arabia|阿拉伯
arabias|阿拉伯
arabian|阿拉伯的
arabianly|阿拉伯地
africa|非洲
africas|非洲
african|非洲的
africanly|非洲地
algeria|阿尔及利亚
algerias|阿尔及利亚
algerian|阿尔及利亚的
algerianly|阿尔及利亚地
austria|奥地利
austrias|奥地利
austrian|奥地利的
austrianly|奥地利地
asia|亚洲
asias|亚洲
asian|亚洲的
asianly|亚洲地
aviv|维夫
avivs|维夫
avivly|维夫地
amman|安曼
ammans|安曼
ammanly|安曼地
algiers|阿尔及尔
algiersly|阿尔及尔地
addis|亚的斯
addisly|亚的斯地
ababa|亚贝巴
ababas|亚贝巴
ababan|亚贝巴的
ababanly|亚贝巴地
accra|阿克拉
accras|阿克拉
accran|阿克拉的
accranly|阿克拉地
amsterdam|阿姆斯特丹
amsterdams|阿姆斯特丹
amsterdamly|阿姆斯特丹地
athens|雅典
athenian|雅典的
athenianly|雅典地
angeles|杉矶
angelino|洛杉矶的
angelinoly|洛杉矶地
auckland|奥克兰
aucklands|奥克兰
aucklandly|奥克兰地
apia|阿皮亚
apias|阿皮亚
apian|阿皮亚的
apianly|阿皮亚地
asset|资产
agreement|协议
acquisition|收购
appointment|预约
agenda|议程
accountability|问责制
attorney|律师
arbitration|仲裁
attention|注意力
addiction|成瘾
adjustment|调整
adolescence|青春期
adulthood|成年期
aging|老化
acceptance|接受
applause|掌声
animation|动画
author|作者
archaeology|考古学
anthropology|人类学
arena|竞技场
arts|艺术
athletics|田径
archery|射箭
agility|敏捷
assessment|评估
advancement|进步
association|协会
administration|行政
activity|活动
accomplishment|成就
animal|动物
area|区域
aspiration|抱负
adrenaline|肾上腺素
anticipation|预期
assurance|保证
assistance|协助
awareness|意识
admiration|钦佩
acknowledgment|承认
appreciation|欣赏
angel|天使
artery|动脉
angle|角度
automatic|自动的
analog|模拟的
augmented|增强的
argument|论点
announcement|公告
assertion|主张
assumption|假设
antibiotic|抗生素
appetizing|开胃的
antarctic|南极的
avenue|大街
alley|胡同
asphalt|沥青
adhesive|粘合剂
abbreviation|缩写
abnormal|异常的
abortion|堕胎
abroad|在国外
abrupt|突然的
absence|缺席
absentee|缺席者
abstain|弃权
abundance|丰富
academic|学术的
academy|学院
accent|口音
accessory|附件
accident|事故
acclaim|称赞
accompaniment|伴奏
accomplished|有造诣的
accordance|按照
accordingly|因此
accordion|手风琴
accounting|会计
accredit|授权
accumulation|积累
accuracy|准确性
accusation|指控
ache|疼痛
achiever|成功者
acoustic|声学的
acquaintance|熟人
acronym|首字母缩写
activism|激进主义
