computer|电脑
cat|猫
car|汽车
cold|冷的
come|来
coffee|咖啡
china|中国
chinese|中文
chair|椅子
city|城市
country|国家
cost|成本
cheap|便宜的
color|颜色
camera|相机
chemistry|化学
cough|咳嗽
clean|干净的
complex|复杂的
comfortable|舒适的
continue|继续
celebration|庆祝
change|改变
cry|哭
confused|困惑的
calm|冷静的
confident|自信的
careful|小心的
careless|粗心的
cell|细胞
chromosome|染色体
conservation|保护
compound|化合物
continent|大陆
climate|气候
carbon|碳
client|客户端
charger|充电器
conditioner|调节器
cleaning|清洁
closet|衣柜
clinic|诊所
cholesterol|胆固醇
cancel|取消
coupon|优惠券
cash|现金
credit|信用卡
customer|顾客
college|学院
classroom|教室
certificate|证书
course|课程
ceremony|典礼
calculate|计算
call|打电话
can|能够
care|关心
carry|携带
catch|抓住
cause|引起
charge|收费
check|检查
choose|选择
claim|声称
clear|清除
climb|爬
close|关闭
collect|收集
combine|结合
comfort|安慰
command|命令
communicate|交流
compare|比较
compete|竞争
complain|抱怨
complete|完成
concentrate|专注
concern|关心
confirm|确认
connect|连接
consider|考虑
consist|组成
contact|联系
contain|包含
contribute|贡献
control|控制
cook|烹饪
copy|复制
correct|纠正
count|计数
cover|覆盖
create|创造
cross|穿过
capable|有能力的
casual|随意的
central|中央的
certain|确定的
chemical|化学的
chief|主要的
civil|公民的
classic|经典的
clever|聪明的
cloudy|多云的
commercial|商业的
common|常见的
concerned|关心的
concrete|具体的
conscious|有意识的
conservative|保守的
considerable|相当大的
consistent|一致的
constant|持续的
content|满足的
convenient|方便的
conventional|传统的
cool|凉爽的
crazy|疯狂的
creative|创造性的
cultural|文化的
curious|好奇的
current|当前的
cute|可爱的
carpenter|木匠
cashier|收银员
chef|厨师
cleaner|清洁工
clerk|职员
coach|教练
cabbage|卷心菜
candy|糖果
carrot|胡萝卜
cereal|谷物
cheese|奶酪
cherry|樱桃
chicken|鸡肉
chocolate|巧克力
citrus|柑橘
coconut|椰子
cookie|曲奇饼干
corn|玉米
cucumber|黄瓜
camel|骆驼
cow|牛
crocodile|鳄鱼
cave|洞穴
cliff|悬崖
castle|城堡
church|教堂
cinema|电影院
clock|时钟
cup|杯子
cap|帽子
coat|外套
cheek|脸颊
chin|下巴
child|孩子
cousin|表兄弟姐妹
century|世纪
chance|机会
choice|选择
courage|勇气
capture|捕获
carve|雕刻
cast|投掷
challenge|挑战
chase|追逐
cheat|作弊
cheer|欢呼
chew|咀嚼
choke|窒息
chop|砍
clap|鼓掌
clarify|澄清
classify|分类
clip|剪裁
clothe|穿衣
cloud|云遮
complicate|使复杂
compliment|赞美
compose|组成
compress|压缩
conceal|隐藏
conclude|结束
conduct|进行
confess|忏悔
confine|限制
conflict|冲突
confront|面对
confuse|使困惑
conserve|保护
consolidate|巩固
conspire|密谋
construct|建造
consult|咨询
consume|消费
contaminate|污染
contend|主张
contract|合同
contradict|矛盾
convert|转换
convince|说服
cooperate|合作
coordinate|协调
corrupt|腐败
counsel|建议
crack|裂缝
crash|坠毁
crawl|爬行
creep|爬行
criticize|批评
crowd|拥挤
crown|加冕
cruise|巡航
crush|压碎
cultivate|培养
cure|治愈
curl|卷曲
curse|诅咒
curve|弯曲
customise|定制
cut|切割
cycle|循环
cabin|小屋
cabinet|内阁
cable|电缆
cafeteria|自助餐厅
calendar|日历
camp|营地
campaign|运动
campus|校园
canal|运河
cancer|癌症
candidate|候选人
candle|蜡烛
cannon|大炮
canoe|独木舟
canvas|帆布
capacity|容量
capital|首都
captain|船长
cardboard|纸板
cargo|货物
carpet|地毯
carriage|车厢
carrier|载体
cart|手推车
cartoon|卡通
case|案例
cassette|盒式磁带
catalog|目录
cathedral|大教堂
cattle|牛
caution|谨慎
ceiling|天花板
celebrate|庆祝
cellar|地窖
cement|水泥
census|人口普查
chain|链条
chalk|粉笔
chamber|房间
champion|冠军
channel|频道
chapter|章节
character|性格
charity|慈善
charm|魅力
chart|图表
chemist|化学家
cheque|支票
chess|国际象棋
chest|胸部
childhood|童年
chill|寒冷
chimney|烟囱
chorus|合唱团
Christ|基督
Christian|基督徒
Christmas|圣诞节
cigarette|香烟
circle|圆圈
circuit|电路
circumference|圆周
circumstance|情况
citizen|公民
civilization|文明
clash|冲突
class|班级
claw|爪子
clay|粘土
cloth|布料
clothes|衣服
clothing|服装
club|俱乐部
clue|线索
coal|煤
coarse|粗糙的
coast|海岸
cock|公鸡
code|代码
coin|硬币
collapse|倒塌
