earth|地球
eat|吃
evening|晚上
eight|八
english|英语
excuse|原谅
email|电子邮件
expensive|昂贵的
empty|空的
easy|容易的
exciting|令人兴奋的
end|结束
exam|考试
experience|经验
enzyme|酶
evolution|进化
ecosystem|生态系统
extinction|灭绝
element|元素
energy|能量
electricity|电
experiment|实验
equation|方程式
earthquake|地震
environment|环境
erosion|侵蚀
encryption|加密
exercise|锻炼
exchange|换货
employee|员工
education|教育
earn|赚取
educate|教育
employ|雇用
encourage|鼓励
enjoy|享受
enter|进入
escape|逃跑
establish|建立
estimate|估计
evaluate|评估
examine|检查
excite|使兴奋
execute|执行
exist|存在
expand|扩展
expect|期望
explain|解释
explore|探索
express|表达
eager|渴望的
early|早的
eastern|东方的
economic|经济的
educated|受过教育的
effective|有效的
efficient|高效的
either|任一的
elderly|年长的
electric|电的
electronic|电子的
elementary|基础的
elephant|大象的
eleven|十一的
encouraging|鼓励的
entire|整个的
environmental|环境的
equal|平等的
equivalent|等价的
essential|必要的
established|已建立的
ethical|伦理的
ethnic|种族的
European|欧洲的
every|每个的
excellent|优秀的
exceptional|例外的
excited|兴奋的
exclusive|独家的
experienced|有经验的
experimental|实验的
expert|专家的
extra|额外的
extreme|极端的
editor|编辑
electrician|电工
engineer|工程师
egg|鸡蛋
eagle|鹰
ear|耳朵
elbow|肘部
eye|眼睛
emotion|情感
error|错误
ease|减轻
echo|回声
edit|编辑
elect|选举
eject|弹出
elaborate|详细阐述
elapse|流逝
elastic|有弹性的
electrify|使电气化
eliminate|消除
embrace|拥抱
emerge|出现
emit|发出
emphasize|强调
enable|使能够
enact|制定
enclose|包围
encounter|遭遇
endure|忍受
enforce|执行
engage|参与
enhance|增强
enlarge|扩大
enlighten|启发
enormous|巨大的
enquire|询问
enroll|注册
ensure|确保
entertain|娱乐
entitle|授权
entrust|委托
entry|进入
envelop|包围
envy|嫉妒
equip|装备
erect|竖立
evaporate|蒸发
exceed|超过
excel|优秀
except|除...外
exhaust|耗尽
exhibit|展示
exit|退出
expel|驱逐
expend|花费
expire|过期
explode|爆炸
exploit|开发
export|出口
expose|暴露
extend|延伸
extinguish|熄灭
extract|提取
europium|元素周期表的第63个，銪，缩写Eu
erbium|元素周期表的第68个，鉺，缩写Er
einsteinium|元素周期表的第99个，鑀，缩写Es
easily|容易地
educational|教育的
educationally|教育上
enrich|使丰富
eating|吃
eatable|可吃的
eatably|可吃地
effectively|有效地
effectiveness|有效性
effortful|费力的
effortfully|费力地
employment|就业
employed|被雇佣的
employedly|被雇佣地
endless|无尽的
endlessly|无尽地
endlessness|无尽
energetic|精力充沛的
energetically|精力充沛地
energize|使精力充沛
enjoyment|享受
enjoyable|令人愉快的
enjoyably|令人愉快地
equality|平等
equally|平等地
equate|等同
examination|检查
examinable|可检查的
examinably|可检查地
excitement|兴奋
excitedly|兴奋地
excusable|可原谅的
excusably|可原谅地
execution|执行
executive|执行的
executively|执行地
existence|存在
existent|存在的
existently|存在地
expectation|期望
expected|预期的
expectedly|预期地
explanation|解释
explanatory|解释的
explanatorily|解释地
expression|表达
expressive|表达的
expressively|表达地
effect|效果
effort|努力
experimentally|实验地
evidential|证据的
evidentially|证据地
evident|明显的
economy|经济
economically|经济地
economize|节约
environmentally|环境地
environmentalize|使环境化
ecological|生态的
ecologically|生态地
emotionalize|使情绪化
eco|生态
evidence|证据
ecology|生态学
emotional|情绪的
emotionally|情绪地
evolve|进化
evolutionary|进化的
evolutionarily|进化地
enzymes|酶
enzymatic|酶的
enzymatically|酶地
ecosystems|生态系统
excrete|排泄
excretion|排泄
excretory|排泄的
excretorily|排泄地
evergreen|常绿的
evergreens|常绿植物
evergreenly|常绿地
endemic|特有的
endemics|特有物种
endemically|特有地
extinct|灭绝的
extinctions|灭绝
extinctly|灭绝地
endangered|濒危的
endangerments|濒危
