fire|火
flower|花
fish|鱼
friend|朋友
family|家庭
food|食物
fruit|水果
four|四
five|五
forest|森林
free|免费
fever|发烧
full|饱的
fast|快的
false|虚假的
first|第一
finish|完成
failure|失败
future|未来
foolish|愚蠢的
force|力
frequency|频率
formula|公式
fossil|化石
furniture|家具
fan|风扇
fitness|健身
face|面对
fail|失败
fall|落下
fear|害怕
feed|喂养
feel|感觉
fight|战斗
fill|填充
find|找到
fit|适合
fix|修理
fly|飞
focus|专注
follow|跟随
forbid|禁止
forgive|原谅
forget|忘记
freeze|冻结
frighten|使害怕
fair|公平的
familiar|熟悉的
famous|著名的
fancy|花哨的
fantastic|极好的
far|远的
fat|胖的
favourite|最喜欢的
federal|联邦的
female|女性的
fierce|凶猛的
final|最终的
fine|好的
firm|坚定的
fixed|固定的
flat|平坦的
flexible|灵活的
following|以下的
foreign|外国的
formal|正式的
former|以前的
forth|第四的
fortunate|幸运的
frequent|频繁的
fresh|新鲜的
friendly|友好的
frightened|受惊的
fun|有趣的
funny|好笑的
further|进一步的
farmer|农民
firefighter|消防员
flour|面粉
fox|狐狸
frog|青蛙
factory|工厂
finger|手指
foot|脚
father|父亲
faith|信仰
freedom|自由
friendship|友谊
facilitate|促进
faint|昏厥
fault|过错
favor|偏爱
fence|围栏
ferry|渡运
fetch|取来
figure|计算
film|拍摄
filter|过滤
finance|资助
flash|闪现
flee|逃跑
flesh|肉体
float|漂浮
flood|洪水
flow|流动
fluctuate|波动
fold|折叠
forecast|预报
foresee|预见
forge|锻造
form|形成
formulate|制定
forsake|抛弃
fortify|加强
forward|转发
foster|培养
found|建立
frown|皱眉
fry|油炸
fulfill|履行
function|运行
fund|资助
furnish|提供
fluorine|元素周期表的第9个，氟，缩写F
francium|元素周期表的第87个，鈁，缩写Fr
fermium|元素周期表的第100个，鐨，缩写Fm
flerovium|元素周期表的第114个，鈇，缩写Fl
freely|自由地
fullness|完整
fully|完全地
failing|失败的
failingly|失败地
fearful|害怕的
fearfully|害怕地
fearfulness|害怕
forgetfulness|健忘
forgetful|健忘的
forgetfully|健忘地
forgiveness|原谅
forgiving|原谅的
forgivingly|原谅地
freshness|新鲜
freshen|使新鲜
friendlily|友好地
freshly|新鲜地
financial|金融的
financially|金融地
fitly|恰当地
feelingly|感受地
feeling|感觉
fertilize|受精
fertilization|受精
fertilizing|受精的
fertilizingly|受精地
fungus|真菌
fungi|真菌
fungal|真菌的
fungally|真菌地
fern|蕨类
ferns|蕨类
ferny|蕨类的
fernily|蕨类地
flowering|开花
flowerings|开花
floweringly|开花地
fossorial|穴居的
fossorials|穴居生物
fossorially|穴居地
fragmentation|碎片化
fragmentations|碎片化
fragmentational|碎片化的
fragmentationally|碎片化地
fructose|果糖
fructoses|果糖
fructosic|果糖的
fructosically|果糖地
france|法国
frances|法国
french|法国的
frenchly|法国地
filipino|菲律宾的
filipinoly|菲律宾地
finland|芬兰
finlands|芬兰
finnish|芬兰的
finnishly|芬兰地
fiji|斐济
fijis|斐济
fijian|斐济的
fijianly|斐济地
francisco|弗朗西斯科
franciscos|弗朗西斯科
franciscan|圣弗朗西斯科的
franciscanly|圣弗朗西斯科地
franchise|特许经营
fulfillment|成就感
fiction|小说
festival|节日
formation|阵型
foul|犯规
field|场地
football|足球
fishing|钓鱼
fencing|击剑
flexibility|灵活性
facility|设施
funding|资金
foundation|基金会
federation|联合会
feedback|反馈
factor|因素
finalist|决赛选手
faithfulness|忠诚
follower|追随者
flattery|奉承
folder|文件夹
fuel|燃料
fabric|织物
fashion|时尚
farewell|告别
fling|猛扔
fairy|仙女
frozen|冰冻的
fluid|流体
fracture|骨折
fiber|纤维
flavor|味道
fried|油炸的
fermented|发酵的
freeway|高速公路
freight|货运
fatigue|疲劳
faculty|教员
fade|褪色
fame|名声
fantasy|幻想
fare|票价
fascinate|着迷
fatal|致命的
fate|命运
feasible|可行的
feature|特征
file|文件
finding|发现
fiscal|财政的
flame|火焰
fleet|舰队
flight|航班
flock|群
flourish|繁荣
flu|流感
folk|民间
format|格式
fortune|财富
forum|论坛
fraction|分数
fragment|碎片
framework|框架
friction|摩擦
frontier|前沿
frustrate|挫败
fundamental|基本的
funeral|葬礼
furious|狂怒的
furthermore|此外
fuss|大惊小怪
friends|朋友
foods|食物
fact|事实
farming|农业
felt|感觉
for|为了
followed|跟随
finally|终于
findings|调查结果
from|从
fans|粉丝
forms|形式
feelings|感情
factors|因素
few|很少的
front|前面
fathers|父亲
funded|资助
fewer|较少的
families|家庭
focused|注意力集中的
fixture|固定装置
frame|制定
fake|假货
formidable|可怕的
footnote|注脚
flaw|缺点
fertility|多产
fertilizer|肥料
feasibility|可行
fluently|流利地
frankly|坦率地
frantic|疯狂的
forthcoming|即将来临的
fearlessly|无畏地
fabricate|捏造
fabrication|捏造
fore|在（或向）船头
finite|有限的
formerly|以前
fort|要塞
flush|脸红
footpath|小路
fragrant|香的
filament|细丝
fearless|无畏的
faultless|无过失的
filth|污秽
fro|往
ferrous|铁的
fringe|穗
fitting|适当的 n. 配件
flask|瓶
flake|片
foam|泡沫塑料
faction|派别
feminine|女性的
formulation|表述方式
flux|流
fission|裂开
flank|肋
fury|狂怒
fastener|扣件
frightful|可怕的
fell|砍倒（树等）
finely|精细地
fright|惊吓
firmness|坚固
fowl|家禽
fellowship|伙伴关系
flavour|给…调味
flatter|奉承
flannel|法兰绒
fighter|战斗机
frail|脆弱的
fragile|脆弱的
fluctuation|波动
fireplace|壁炉
firework|爆竹
fortress|堡垒
fuse|保险丝
flatten|把…弄平
frock|（女）连衣裙
flutter|（鸟）振翼
fertile|（创造力）丰富的
fret|（使）烦恼
flap|拍打 n. 拍打
flip|〈口〉无理的
facet|一个方面
foremost|最好的
feast|vi. 尽情地吃
fluorescent|荧光的
famine|饥荒
fusion|联合
flare|vi. 闪耀
femininity|女性气质
foil|箔
fragrance|芳香
falsehood|谬误
frustration|挫败
fraud|欺诈
feeble|虚弱的
fisherman|渔夫
fur|毛
fellow|人
fin|鱼鳍
furnace|炉子
fireman|消防队员
forever|永远
fee|费用
fume|冒烟
fashionable|流行的
favorable|有利的
fog|雾
floor|地板
fork|叉
farther|更远地
farm|种田
frank|坦白的
futile|无用的
feather|羽毛 v. 用羽毛装饰
foreigner|外地人
faulty|有错误的
feat|功绩
friday|星期五
fifty|五十
fridge|电冰箱
fasten|使固定
frost|结霜于
fool|欺骗
fond|喜欢的
fax|传真 n. 传真
forehead|额
fable|寓言
fortnight|两星期
fountain|喷泉
february|二月
fist|拳
feudal|封建制度的
fruitful|富有成效的
fourteen|num. 十四
fluent|流畅的
flag|标记
footstep|脚步
faithful|守信的
fantastical|奇异的
fascinated|兴奋的
fertiliser|肥料
fulfil|vt. 完成
fatigued|疲乏的
favourable|赞许的
fibre|纤维
favorite|特别喜欢的
fabulous|寓言式的
faithfully|忠诚地
freelance|自由职业的
facial|脸部的
fuller|漂洗工
factual|事实的
florida|佛罗里达(美国州名)
functional|功能的
flipper|鳍状肢
fossilization|化石作用
freezing|冰冻的
fossilize|成化石
freshwater|淡水
footprint|足迹
forage|草料
fauna|动物群
falcon|猎鹰
fifteen|十五
fourth|第四个
fifteenth|第十五
farmland|农田
firn|粒雪
fir|[植]冷杉
figurine|小雕像
frontality|正面描绘
finch|雀类
fluke|侥幸
figurative|比喻的
flora|[罗神]花神
fundamentally|从根本上
forerunner|先驱(者)
financier|财政家
faunal|动物区系的
fifth|第五的
flagellum|[动]鞭毛
feminist|男女平等主义者
fetus|胎儿
feeder|饲养员
foodstuff|食品
frontal|前沿
fingerboard|键盘
freudian|n&a
firmly|坚固地
formalize|使正式
fieldstone|散石
forty|四十
fahrenheit|华氏温度计
foraminifera|有孔虫类
farce|闹剧
flax|亚麻
fictional|虚构的
fatty|脂肪的
fortunately|幸运地
fodder|饲料
frigid|寒冷的
fairground|游乐场
firewood|木柴
forager|强征(粮食)者
formally|正式地
farsighted|有先见之明的
fatten|养肥
flagpole|旗杆
feldspar|[矿]长石
firearm|火器
figuratively|比喻地
foliage|树叶
flashbulb|[摄]闪光灯泡
funnel|漏斗
fastidious|过分讲究的
fortification|防御工事
floral|花的
ford|浅滩 v徒涉
fathom|长度单位(6英尺)
functionalism|功能主义
foresightedness|先见之明
fanciful|想像的
fishery|渔业
founding|创办的 n. 资金
fireball|火球
franklin|小地主
friendliness|友谊
flicker|闪烁
fletcher|<古>造箭者
flute|长笛 v. 吹长笛
facade|正面
flowerbed|花床
flexibly|易曲地
fungicide|杀真菌剂
figural|借喻的
fortuitously|偶然地
forbes|福布斯（美国著名财经杂志）
flier|飞行者
freighter|货船
filmmaker|电影摄制者
forester|林务官
familiarity|熟悉
fanwise|ad& adj. 呈扇形展开的
faucet|龙头
flyspeck|污点
falconer|以鹰狩猎者
firing|开火
foreleg|前肢(指四肢或多肢动物的)前脚
facelift|整容手术（除去面部皱纹）
fluffy|绒毛似的
fen|沼泽
fidelity|忠实
federalist|联邦党
fend|保护
fortuitous|偶然的
fibrous|含纤维的
floe|大浮冰
fad|时尚
fluidity|流动性
flotation|浮选
forebear|祖先
favorably|赞同地
forefront|最前部
foresight|远见
fleshy|肉的
fallout|辐射微尘
fray|吵架 v. 磨破
fanners|电风扇
flop|猛落
flint|打火石
flatboat|(浅水)平底船
foothill|山麓小丘
floodplain|泛洪平原
fecund|生殖力旺盛的
flout|轻视
fiddler|拉提琴的人
fiercely|猛烈地
faultfinding|找茬
fanner|通风机
fallacy|谬误
foe|敌人
fiord|(尤指挪威的)海湾
fixation|固定
flatfish|比目鱼
feverishly|兴奋地
flashy|浮华的
flaming|熊熊燃烧的
fateful|重大的
foment|[医]热敷
faintly|微弱地
feathery|生有羽毛的
faraway|遥远的
flyway|候鸟迁徙所经的路径
folly|愚蠢
facsimile|摹写
fruitless|不结果实的
foghorn|[航海]雾角
fruitfulness|多产
foray|突袭
fresher|大学一年级新生
frivolity|轻薄
fragility|脆弱
fervor|热情
farmhand|农业工人
