good|好的
go|去
game|游戏
green|绿色
garden|花园
geography|地理
grade|成绩
gift|礼物
goal|目标
grow|成长
gene|基因
genetics|遗传学
gravity|重力
glacier|冰川
gas|煤气
graduation|毕业
gain|获得
gather|聚集
govern|统治
graduate|毕业
guess|猜测
guide|指导
general|一般的
genetic|基因的
generous|慷慨的
gentle|温和的
genuine|真诚的
glad|高兴的
global|全球的
golden|金色的
grand|宏伟的
grateful|感激的
great|伟大的
gross|总的
guilty|有罪的
gardener|园丁
garlic|大蒜
grape|葡萄
giraffe|长颈鹿
goat|山羊
garage|车库
glasses|眼镜
gloves|手套
grandchild|孙辈
granddaughter|孙女
grandfather|祖父
grandmother|祖母
grandson|孙子
generate|产生
gesture|手势
get|得到
give|给予
glance|瞥见
glare|怒视
glide|滑行
glimpse|一瞥
glitter|闪亮
glisten|闪光
glow|发光
glue|粘合
grab|抓取
grace|优雅
grant|授予
grasp|抓住
grate|磨碎
grease|润滑
greet|问候
grieve|悲伤
grind|研磨
grip|握紧
groan|呻吟
guarantee|保证
guard|守卫
gallium|元素周期表的第31个，鎵，缩写Ga
germanium|元素周期表的第32个，鍺，缩写Ge
gadolinium|元素周期表的第64个，釓，缩写Gd
gold|元素周期表的第79个，金，缩写Au
goodness|善良
government|政府
governmental|政府的
governmentally|政府地
growth|增长
growing|增长的
growingly|增长地
guidance|指导
guiding|指导的
guidingly|指导地
guiltily|内疚地
greenify|使绿化
guilt|内疚
greenly|绿色地
greenness|绿色
genetically|遗传地
germinate|发芽
germination|发芽
germinative|发芽的
germinatively|发芽地
glucose|葡萄糖
glucoses|葡萄糖
glucosic|葡萄糖的
glucosically|葡萄糖地
glycogen|糖原
glycogens|糖原
glycogenic|糖原的
glycogenically|糖原地
germany|德国
germanies|德国
german|德国的
germanly|德国地
greece|希腊
greeces|希腊
greek|希腊的
greekly|希腊地
ghana|加纳
ghanas|加纳
ghanaian|加纳的
ghanaianly|加纳地
guinea|几内亚
guineas|几内亚
guinean|几内亚的
