hello|你好
house|房子
happy|快乐的
hot|热的
hate|恨
hear|听
hundred|百
hospital|医院
hotel|酒店
hardware|硬件
history|历史
health|健康
headache|头痛
hungry|饿的
help|帮助
holiday|假期
hope|希望
honest|诚实的
hardworking|勤奋的
habitat|栖息地
hypothesis|假设
hydrogen|氢
heating|暖气
heart|心脏
highway|高速公路
homework|家庭作业
hang|悬挂
happen|发生
hide|隐藏
hold|握住
hard|硬的
healthy|健康的
heavy|重的
helpful|有帮助的
high|高的
hollow|空的
holy|神圣的
home|家里的
horizontal|水平的
huge|巨大的
human|人类的
hairdresser|发型师
honey|蜂蜜
horse|马
hill|小山
helicopter|直升机
hat|帽子
hair|头发
hand|手
head|头部
husband|丈夫
happiness|幸福
halt|停止
hammer|锤击
handle|处理
harass|骚扰
harm|伤害
harvest|收获
haste|匆忙
hatch|孵化
haunt|萦绕
have|有
heal|治愈
heap|堆积
heat|加热
hinder|阻碍
hire|雇用
hiss|发出嘶嘶声
hit|打击
hook|钩住
hop|跳
hover|盘旋
hug|拥抱
hum|哼唱
humble|谦卑
humiliate|羞辱
hunt|狩猎
hurry|匆忙
hurt|伤害
hypothesize|假设
helium|元素周期表的第2个，氦，缩写He
holmium|元素周期表的第67个，釧，缩写Ho
hafnium|元素周期表的第72个，鉿，缩写Hf
hassium|元素周期表的第108个，𨭆，缩写Hs
happify|使快乐
happily|快乐地
helpfully|有帮助地
helpfulness|有益性
hopeful|有希望的
hopefully|有希望地
hopefulness|希望
height|高度
heighten|加高
highly|高度地
hotly|热烈地
healthily|健康地
healthify|使健康
honestly|诚实地
honorability|荣誉
honorable|可敬的
honorably|可敬地
hurtful|有害的
hurtfully|有害地
honesty|诚实
honestness|诚实
honor|荣誉
hypothetical|假设的
hypothetically|假设地
harden|硬化
historical|历史的
historically|历史地
historicize|使历史化
habitats|栖息地
habitatual|栖息的
habitually|习惯地
hibernate|冬眠
hibernation|冬眠
hibernating|冬眠的
hibernatingly|冬眠地
homeostasis|体内平衡
homeostases|体内平衡
homeostatic|体内平衡的
homeostatically|体内平衡地
herbivorous|草食的
herbivores|草食动物
herbivorously|草食地
hydric|湿生的
hydrics|湿生生物
hydrically|湿生地
heterotrophic|异养的
heterotrophs|异养生物
heterotrophically|异养地
hanoi|河内
hanois|河内
hanoily|河内地
helsinki|赫尔辛基
helsinkis|赫尔辛基
helsinkily|赫尔辛基地
hierarchy|层级
headquarters|总部
habit|习惯
harmony|和谐
heritage|遗产
hoop|篮筐
hiking|徒步
hunting|狩猎
hero|英雄
headphone|耳机
hurricane|飓风
helmet|头盔
hazard|危险
host|主人
hostess|女主人
hiccup|打嗝
haul|拖运
hurl|猛掷
heroine|女英雄
herb|草药
holder|支架
handful|一把
harbor|港口
hardship|困苦
harsh|严厉的
hatred|仇恨
headline|头条
hedge|树篱
heel|脚后跟
hesitate|犹豫
highlight|突出
hint|暗示
horizon|地平线
horn|角
horror|恐怖
household|家庭
half|一半
helped|帮助
higher|更高的
handed|交
had|有
housing|住房
helps|帮助
heard|听到
however|然而；不管怎样
him|他
harder|更困难的
homeless|无家可归者
how|怎样
healthier|更健康的
his|他的
hiring|雇用
hours|小时
hands|手
humans|人类
has|有
habits|习惯
here|在这里
happened|发生
harmful|有害的
helping|帮助
he|他
her|她
hour|小时
homes|家
having|有
honorary|荣誉的
hasty|匆忙的
harness|利用
hostile|有敌意的
hasten|加速
hazardous|危险的
hijack|劫持
habitual|习惯的
humorous|幽默的
hostility|敌意
humanistic|人文的
hospitality|友好
hack|黑客攻击
handgun|手枪
hike|作长途徒步旅行
hearty|热情友好的
hindrance|障碍
hose|软管
hymn|赞美诗
harbour|怀着（不好的想法、恐惧或希望）
hail|向…欢呼
hull|外壳
hip|臀部
homogeneous|同类的
hydrocarbon|烃
hydraulic|水力的
harp|竖琴
handbook|手册
humidity|湿气
handout|施舍物
hoist|升起
heaven|上帝
hostage|人质
humanity|人类
hardy|强壮的
hitherto|迄今
historian|历史学家
historic|历史的
henceforth|今后
