kitchen|厨房
knowledge|知识
kind|善良的
kidney|肾脏
kill|杀死
kiss|亲吻
knock|敲
keen|敏锐的
key|关键的
kangaroo|袋鼠
knee|膝盖
keep|保持
kick|踢
kneel|跪下
knit|编织
krypton|元素周期表的第36个，氪，缩写Kr
know|知道
knowledgeable|有知识的
knowledgeably|有知识地
killing|杀死
korea|韩国
koreas|韩国
korean|韩国的
koreanly|韩国地
kazakhstan|哈萨克斯坦
kazakhstans|哈萨克斯坦
kazakh|哈萨克族的
kazakhly|哈萨克族地
kenya|肯尼亚
kenyas|肯尼亚
kenyan|肯尼亚的
kenyanly|肯尼亚地
kiribati|基里巴斯
kiribatis|基里巴斯
kiribatian|基里巴斯的
kiribatianly|基里巴斯地
kuala|吉隆
kualas|吉隆
kualan|吉隆的
kualanly|吉隆地
kathmandu|加德满都
kathmandus|加德满都
kathmanduly|加德满都地
kolkata|加尔各答
kolkatas|加尔各答
kolkatly|加尔各答地
karachi|卡拉奇
karachis|卡拉奇
karachily|卡拉奇地
khartoum|喀土穆
khartoums|喀土穆
khartoumly|喀土穆地
kindness|善良
keyboard|键盘
kingdom|王国
keynes|凯恩斯
kelli|凯莉
kids|小孩
kinds|种类
keeping|保管
known|已知的
kidnap|绑架
kilowatt|千瓦（特）
knight|骑士
kinetic|动力（学）的
kindle|点燃
kit|成套工具
kernel|（果实的）核
knob|球形把手
kilometre|(kilometer) 公里
kin|亲戚
knot|（绳等的）结
knife|刀
kettle|壶
kite|风筝 v. 使用空头支票
kindergarten|幼儿园
king|国王
kilo|千克
kid|戏弄
kilometer|千米
kinetoscope|活动电影放映机
kittiwake|三趾鸥
kiln|窑
kestrel|(一种)鹰
kohoutek|[天]科胡特克彗星
kerosene|煤油
karst|石灰岩地区常见的地形
kinship|血族关系
krill|[动]磷虾(单复同)
kilogram|[物]千克
knap|敲击
kiwi|[鸟]几维(一种新西兰产的无翼鸟)
kennel|狗窝 v. 置于狗窝
katherine|凯瑟琳（女子名）
kinglet|<贬>懦弱的国王
keel|龙骨(船的脊骨)
keplerian|开普勒理论的
keelboat|一种河船
kink|结 v纠结
kier|漂煮锅
kitchenware|厨房用具
kinfolk|亲属
kinsman|男性亲戚
knuckle|指节
kiosk|亭子
keenly|敏锐地
knead|揉(面等)成团
kea|食肉鹦鹉
knack|诀窍
k|[计] 键, 关键字, 千, 千字节
keywords|关键字
kb|[计] 键盘, 千位, 千字节, 知识库
kansas|堪萨斯州
keyword|[计] 关键字
km|[医] 千米, 公里
kong|含锡砾石下的无矿基岩；钢
knew|know的过去式
kelly|凯利（男子名）；[古]战士
kept|keep的过去式和过去分词
kentucky|肯塔基州
knows|知道（know的第三人称单数形式）
kevin|凯文（男子名）
kits|装备；小桶；锦囊（kit的复数）
keys|关键帧；（钢琴等的）键；密钥（key的复数）
killed|被杀死的, 被屠宰的, 镇静的
kim|金姆（人名）
ky|美国肯塔基州（Kentucky）
kg|千克, 公斤
ks|韩国标准（Korean Standards）；敲缸传感器（Knock Sensor）；闸刀开关（knifeswitch）
ken|视野范围, 知识范围, 见地
kings|《列王纪》（《圣经》中的篇章）
kent|肯特郡(英国郡名)
kerry|黑色的小乳牛（英国产）
knowing|博学的, 聪颖的, 精明的
keith|基思（男子名）
keeps|罐笼座；盖子（keep的复数形式）
kate|凯特（女子名, 等于Catherine）
