love|爱
like|喜欢
language|语言
letter|字母
link|链接
lake|湖
laptop|笔记本电脑
last|最后
learn|学习
life|生活
laugh|笑
lazy|懒惰的
laboratory|实验室
learning|学习
login|登录
logout|登出
lunch|午餐
living|客厅
light|灯
laundry|洗衣
lung|肺
liver|肝脏
luggage|行李
library|图书馆
lack|缺乏
land|着陆
lead|领导
lean|倾斜
leap|跳跃
leave|离开
lend|借出
lie|躺
lift|举起
listen|听
live|生活
load|装载
lock|锁
look|看
lose|丢失
large|大的
late|晚的
latter|后者的
leading|领先的
left|左边的
legal|合法的
less|较少的
liable|有责任的
likely|可能的
limited|有限的
linear|线性的
linked|连接的
liquid|液体的
little|小的
local|当地的
logical|逻辑的
lonely|孤独的
long|长的
loose|松的
lost|丢失的
loud|大声的
lovely|可爱的
low|低的
loyal|忠诚的
lucky|幸运的
lawyer|律师
librarian|图书管理员
lemon|柠檬
lettuce|生菜
lion|狮子
lamp|灯
leg|腿
law|法律
luck|运气
label|标签
labour|劳动
launch|发射
lavish|慷慨给予
leak|泄漏
lease|租赁
lecture|讲座
lengthen|延长
lessen|减少
let|让
level|平整
liar|说谎
lick|舔
lighten|减轻
limp|跛行
line|排队
loan|贷款
loosen|放松
lower|降低
lubricate|润滑
lump| lump
lunge|突进
lurk|潜伏
lithium|元素周期表的第3个，鋰，缩写Li
lanthanum|元素周期表的第57个，鑭，缩写La
lutetium|元素周期表的第71个，鑥，缩写Lu
lawrencium|元素周期表的第103个，鐒，缩写Lr
livermorium|元素周期表的第116个，鉝，缩写Lv
lively|活泼地
largeness|巨大
largely|主要地
lightly|轻轻地
length|长度
longly|长久地
lowness|低矮
lowly|低微地
laughter|笑声
laughable|可笑的
laughably|可笑地
leadership|领导力
leadingly|领导地
learnedly|有学问地
loss|损失
lostly|失去地
learned|有学问的
logically|逻辑地
logician|逻辑学家
legally|合法地
literary|文学的
literarily|文学地
literarize|使文学化
logic|逻辑
literature|文学
lactose|乳糖
lactoses|乳糖
lactosic|乳糖的
lactosically|乳糖地
lanka|兰卡
lankas|兰卡
lankan|兰卡的
lankanly|兰卡地
laos|老挝
lao|老挝的
laoly|老挝地
lebanon|黎巴嫩
lebanons|黎巴嫩
lebanese|黎巴嫩的
lebanesely|黎巴嫩地
libya|利比亚
libyas|利比亚
libyan|利比亚的
libyanly|利比亚地
lumpur|坡
lumpurs|坡
lumpurly|坡地
lagos|拉各斯
lagosian|拉各斯的
lagosianly|拉各斯地
london|伦敦
londons|伦敦
londonly|伦敦地
lisbon|里斯本
lisbons|里斯本
lisbonly|里斯本地
los|洛
losly|洛地
liability|负债
license|许可证
lawsuit|诉讼
litigation|诉讼
legislation|立法
lifespan|寿命
lifestyle|生活方式
landscape|风景画
lens|镜头
lighting|光线
league|联赛
loser|失败者
legend|传奇
legacy|遗产
lifetime|一生
location|位置
loyalty|忠诚
latest|最新的
learner|学习者
leader|领导者
leather|皮革
lip|嘴唇
limit|限制
lot|场地
lane|小巷
loop|环路
lubricant|润滑剂
lacquer|漆
labor|劳动
ladder|梯子
lap|膝盖
lawn|草坪
layer|层
layout|布局
leisure|闲暇
liberal|自由的
liberate|解放
liberty|自由
likewise|同样地
linguistic|语言的
litter|垃圾
lobby|大厅
locate|定位
lone|孤独的
lord|贵族
lottery|彩票
luxury|奢侈
languages|语言
lives|生命
listening|听
leaders|领导者
levels|水平
led|领导
later|以后
loneliness|孤独
longer|更久地
lanes|车道
looking|看
larger|更大的（large 的比较级）
least|最小的
looked|看
list|列表
lag|落后
legalize|合法化
landmark|地标
linger|逗留
luxurious|奢侈的
lofty|高耸的
liberation|解放
lest|以免
lounge|休息室
literacy|识字
layman|门外汉
legislator|立法者
literal|字面的
lobbyist|游说者
