moon|月亮
music|音乐
movie|电影
meat|肉
milk|牛奶
morning|早上
month|月
million|百万
mountain|山
museum|博物馆
market|市场
motorcycle|摩托车
money|钱
material|材料
magazine|杂志
mathematics|数学
medicine|医学
memory|记忆
modest|谦虚的
mean|刻薄的
mutation|突变
mitochondria|线粒体
microbiology|微生物学
metabolism|新陈代谢
molecule|分子
motion|运动
mass|质量
magnetism|磁
measurement|测量
mineral|矿物
machine|机器
microwave|微波炉
mop|拖把
mirror|镜子
muscle|肌肉
mall|购物中心
manager|经理
major|专业
maintain|维持
manage|管理
marry|结婚
match|匹配
matter|重要
measure|测量
meet|遇见
melt|融化
memorize|记忆
mention|提到
merge|合并
mind|介意
miss|想念
mix|混合
move|移动
murder|谋杀
magic|魔法的
magnetic|磁性的
main|主要的
male|男性的
manual|手动的
many|许多的
marine|海洋的
married|已婚的
master|主人的
mature|成熟的
maximum|最大的
medical|医学的
mental|心理的
messy|凌乱的
metal|金属的
middle|中间的
mild|温和的
military|军事的
minimum|最小的
minor|次要的
minus|负的
misleading|误导的
missing|缺失的
mixed|混合的
mobile|移动的
modern|现代的
moral|道德的
multiple|多个的
mutual|相互的
mechanic|机械师
musician|音乐家
melon|瓜
mushroom|蘑菇
monkey|猴子
mouse|老鼠
mouth|嘴巴
mother|母亲
midnight|午夜
moment|时刻
marriage|婚姻
mistake|错误
make|制作
maneuver|机动
manifest|显现
manipulate|操纵
march|行进
mark|标记
mask|掩饰
massage|按摩
mate|配对
meddle|干预
mediate|调解
memorise|记忆
mend|修补
mess|弄乱
mine|开采
minimise|最小化
misunderstand|误解
moan|呻吟
mobilise|动员
mock|嘲笑
modify|修改
moisten|湿润
monitor|监控
mope|忧郁
motivate|激励
mould|塑造
mount|安装
mourn|哀悼
mow|割草
muddle|使困惑
multiply|乘
must|必须
magnesium|元素周期表的第12个，鎂，缩写Mg
manganese|元素周期表的第25个，錳，缩写Mn
molybdenum|元素周期表的第42个，鉬，缩写Mo
mercury|元素周期表的第80个，汞，缩写Hg
mendelevium|元素周期表的第101个，鍆，缩写Md
meitnerium|元素周期表的第109个，䥑，缩写Mt
moscovium|元素周期表的第115个，鏌，缩写Mc
management|管理
manageable|可管理的
manageably|可管理地
meaning|意义
meaningful|有意义的
meaningfully|有意义地
movement|运动
moving|移动的
movingly|移动地
musical|音乐的
musically|音乐地
musicality|音乐性
musicate|使音乐化
methodical|有条理的
methodically|有条理地
methodize|使有条理
marketable|有销路的
marketably|有销路地
medically|医学地
medicate|用药治疗
mindful|有意识的
mindfully|有意识地
motivational|激励的
motivationally|激励地
method|方法
motivation|动机
metabolize|新陈代谢
metabolic|新陈代谢的
metabolically|新陈代谢地
mutations|突变
mutational|突变的
mutationally|突变地
mitosis|有丝分裂
mitoses|有丝分裂
mitotic|有丝分裂的
mitotically|有丝分裂地
meiosis|减数分裂
meioses|减数分裂
meiotic|减数分裂的
meiotically|减数分裂地
migrate|迁徙
migration|迁徙
migratory|迁徙的
migratorily|迁徙地
moss|苔藓
mosses|苔藓
mossy|苔藓的
mossily|苔藓地
mesic|中生的
mesics|中生生物
mesically|中生地
mycoremediation|真菌修复
mycoremediations|真菌修复
mycoremediational|真菌修复的
mycoremediationally|真菌修复地
monosaccharide|单糖
monosaccharides|单糖
monosaccharidic|单糖的
monosaccharidically|单糖地
metabolisms|新陈代谢
mexico|墨西哥
mexicos|墨西哥
mexican|墨西哥的
mexicanly|墨西哥地
malaysia|马来西亚
malaysias|马来西亚
malaysian|马来西亚的
malaysianly|马来西亚地
myanmar|缅甸
myanmars|缅甸
myanmarly|缅甸地
mongolia|蒙古
mongolias|蒙古
mongolian|蒙古的
mongolianly|蒙古地
morocco|摩洛哥
moroccos|摩洛哥
moroccan|摩洛哥的
moroccanly|摩洛哥地
marshall|马绍尔
marshalls|马绍尔
marshallese|马绍尔的
marshallely|马绍尔地
micronesia|密克罗尼西亚
micronesias|密克罗尼西亚
micronesian|密克罗尼西亚的
micronesianly|密克罗尼西亚地
manila|马尼拉
manilas|马尼拉
manilan|马尼拉的
manilanly|马尼拉地
males|马累
malily|马累地
mumbai|孟买
mumbais|孟买
mumbailly|孟买地
madrid|马德里
madrids|马德里
madridly|马德里地
moscow|莫斯科
moscows|莫斯科
moscovite|莫斯科的
moscovitely|莫斯科地
miami|迈阿密
miamis|迈阿密
miamian|迈阿密的
miamianly|迈阿密地
montreal|蒙特利尔
montreals|蒙特利尔
montreally|蒙特利尔地
melbourne|墨尔本
melbournes|墨尔本
melbournely|墨尔本地
merger|合并
mortgage|抵押贷款
meeting|会议
minutes|会议记录
mission|使命
mediation|调解
mindset|心态
medication|药物
maturity|成熟
mentorship|导师制
masterpiece|杰作
melody|旋律
makeup|化妆
metaphor|隐喻
medal|奖牌
martial|武术
marathon|马拉松
monitoring|监测
mentor|导师
model|榜样
member|成员
magnitude|大小
morality|道德
meditation|冥想
mood|情绪
merit|优点
microphone|麦克风
message|消息
membership|会员
minister|部长
magnet|磁铁
marker|记号笔
memo|备忘录
mumble|嘟囔
mutter|嘀咕
murmur|低语
myth|神话
mixture|混合物
mechanical|机械的
manufacture|制造
midtown|中区
metropolis|大都市
motorway|高速公路
mud|泥
might|威力
machinery|机械
magnificent|壮丽的
mainland|大陆
mainstream|主流
majority|多数
manuscript|手稿
margin|边缘
massive|大规模的
mathematical|数学的
mayor|市长
meadow|草地
meanwhile|同时
mechanism|机制
medium|媒介
memorial|纪念的
merchant|商人
mercy|仁慈
methodology|方法论
mill|磨坊
ministry|部
minority|少数
miracle|奇迹
missile|导弹
moderate|适度的
module|模块
moisture|水分
monopoly|垄断
monument|纪念碑
moreover|此外
mosque|清真寺
motive|动机
mystery|神秘
managers|经理
members|成员
man|男人
means|意味着
most|最多的
makes|制造
multitasking|多任务处理
may|可以
meals|餐
me|我
maybe|可能
mistakes|错误
mostly|主要地
movies|电影
media|媒体
months|月
math|数学
made|制造
more|更多的
making|制造
my|我的
marking|标记
manufacturers|制造商
men|男人
marked|有标记的
much|许多的
misinterpret|误解
markedly|显著地
misfortune|不幸
memorable|值得纪念的
misled|(mislead过去式)误导
monopolize|垄断
milestone|里程碑
municipal|市政府的
modernize|现代化
metropolitan|大都市的
motel|汽车旅馆
malicious|恶毒的
mobility|流动性
materialize|实现
mismanagement|管理不当
minimal|最低的
moist|潮湿的
mortality|死亡率
mournful|悲哀的
mining|采矿业
magnify|放大
memorandum|备忘录
mysteriously|神秘地
momentum|动力
miniature|微型的
monetary|货币的
maintenance|维修
marsh|沼泽地
multiplication|乘法
mint|造币厂
marshal|元帅
metallurgy|冶金学
microscopic|显微镜的
mast|桅杆
microprocessor|微信息处理机
majesty|雄伟
mesh|网眼
misery|痛苦
modulate|调整
mischief|调皮
momentary|瞬息间的
miser|守财奴
moderately|适度地
moor|使停泊
minimize|使减到最小
mingle|vt. 使混合
maid|少女
maiden|少女
merchandise|商品
mute|弱音器
merciful|仁慈的
mistress|情妇
mighty|强大的
modesty|谦逊
maple|槭树
marvel|奇迹
milky|牛奶的
masculine|男性的
magician|魔法师
martyr|烈士
mitten|连指手套
mechanics|力学
monstrous|极大的
monarch|君主
mob|团团围住（名人等）
metallic|金属的
mustard|芥子
marginal|边缘的
muscular|肌肉发达的
mars|火星
mixer|搅拌器
modification|修改
monk|和尚
monster|怪物
molecular|分子的
malice|恶意
mountainous|多山的
mobilize|动员
magistrate|地方法官
massacre|大屠杀
mansion|大厦
multitude|大批
missionary|传教士
muse|沉思
meditate|沉思
mammal|哺乳动物
mist|薄雾 v. 下薄雾
millionaire|百分富翁
menace|威胁 v. （进行）威胁
moslem|穆斯林 adj. 穆斯林的
melancholy|忧郁的 adj. 忧郁
messenger|送信人
merely|仅仅
muddy|泥泞的
medieval|中世纪的
midst|中部
mere|仅仅的
manufacturer|制造商
minibus|小型公共汽车
migrant|移居者
materialism|唯物主义
marble|大理石
mortal|终有一死的
militant|激进的
millimeter|(millimetre)毫米
marital|婚姻的
merry|欢乐的
monthly|每月的 adv. 每月一次
monotonous|单调的
malignant|恶性的
metric|米制的
mode|方式
modernization|(modernisation)现代化
motor|发动机
marvelous|(marvellous)惊人的
mankind|人类
manner|方式;举止;(pl.)风度
menu|菜单
metre|(meter)米
monday|星期一
mislead|误导
miserable|悲惨的
mad|疯狂的
madame|（法语）夫人
mysterious|神秘的
microscope|显微镜
mutton|羊肉
mosquito|蚊子
marxist|马克思主义者 adj. 马克思主义的
maths|数学（等于mathematics）
meantime|其时
mosaic|摩西的
mat|垫
mug|杯子
marvellous|令人惊奇的
millimetre|毫米
mold|模子
manoeuvre|演习
meteorite|陨石
meter|米
mile|英里
mar|污点
mediterranean|地中海
map|地图 v. 绘制地图
minute|分钟
maya|玛雅人
millennium|太平盛世
motif|主题
modem|[计]调制解调器
mesozoic|中生代(的)
maker|制造者
mantle|斗蓬 v. 披风
mail|邮件
martian|火星人(的)
mercantile|贸易的
mississippi|密西西比河
massachusetts|马萨诸塞(美国州名)
mammoth|猛犸
missouri|密苏里州(美国州名)
molt|vi&n. 脱毛
mississippian|密西西比河的 n密西西比州人
magma|岩浆
meltwater|冰雪融化成的水
monumental|纪念碑的
mathematician|数学家
marseille|马赛(法国港口城市)
moth|蛾
mechanize|机械化
mandan|曼丹人
mutualism|互助论
methane|甲烷
moraine|冰碛
microorganism|微生物
mound|土墩
meager|兆
mackerel|鲭
midwest|中西部
mutoscope|(早期的)电影放映机
mutually|互相地
movable|活动的
mythical|神话的
maturation|化脓
magnetosphere|磁气圈
measurable|可测量的
maritime|海上的
moose|[动] 驼鹿
mineralization|矿化作用
marlin|枪鱼
meal|餐
manhattan|曼哈顿岛(美国纽约一区)
meticulously|仔细地
meteoric|流星的
michigan|密歇根州(美国州名)
mule|骡子
midcontinent|大陆中部
mainstay|支柱;骨干
magenta|红紫色(的)
maser|微波激射器
minuscule|草写小字(的)
micron|微米
mechanization|机械化
mural|墙壁的  n壁画
midair|半空中
motionless|不动的
meaningless|无意义的
mesquite|豆科灌木
mussel|[动]贻贝
mismatch|配错
multiplicity|多样性
maximize|取最大值
marshy|沼泽般的
manifestation|显示
myriad|无数的 n无数
minimalist|最低限要求者
magical|魔术的
makeshift|临时的 n. 临时替代物
megawatt|兆瓦特
multicellular|多细胞的
matrix|矩阵
metalworker|金工工人
mortise|榫眼  v用榫接合
microbial|微生物的
microbiologist|微生物学家
mallet|槌棒
macdonald|麦当劳快餐店
mundane|平凡的
mystical|神秘的
mandarin|官话
miner|矿工
minneapolis|明尼苏达[美国州名]
metalwork|金属制品
mythology|神话
mythological|神话(学)的
manure|肥料
masonry|石工术
mediocre|平庸的
methyl|甲基
maroon|栗色 a栗色的
marrow|精华
mudflats|泥滩
mineralize|使矿物化
molasses|<美>糖蜜
meteor|流星
magnetize|使磁化
morally|道德上
militaristic|军国主义的
morphology|[生物]形态学
meteorologist|气象学者
mesopotamian|美索不达米亚（两河流域）
meaty|肉的
mystique|神秘性
morris|莫理斯舞(英国传统民间舞蹈)
mentally|精神上
midway|中途
midday|正午
maize|玉米
microscopy|显微镜检查
monoxide|一氧化物
mandible|下颚
malleability|有延展性
microfossil|微体化石
mudstone|[地]泥岩
meteoritic|陨星的
manipulation|处理
mantel|壁炉架
mandate|(书面)命令
mammalian|哺乳动物 adj. 哺乳动物的
minstrel|吟游诗人(或歌手)
monroe|门罗(m)
massif|山丘
militarily|以武力
mottle|使有斑点 n杂色
misunderstanding|误会
myxoma|[医]粘液瘤
milligram|毫克
miocene|中新世的
monoid|独异点
maine|缅因州(美国东北角的州)
momentarily|暂时地
medicinal|药物的
misty|有薄雾的
marketplace|集会场所
moody|易怒的
minutely|每分钟的
monolithic|单片电路
meticulous|一丝不苟的
millet|[植]稷
marvelously|奇迹般地
microbe|微生物
mite|微小的东西
mistrust|不信任
milkweed|乳草属植物
monogamous|一夫一妻的
monochrome|单色 单色的
momentous|重要的
misdeed|罪行
multifaceted|多层面的
maternal|母亲的
morphological|形态学的
morale|士气
malleable|有延展性的
mechanically|机械地
marshland|沼泽地
multivolume|多卷的
modernist|现代主义者
moat|护城河
misinterprete|误解
macaque|短尾猿
mote|尘埃
micronutrient|[生]微量营养素
moccasin|鹿皮鞋
meteoroid|流星体
microcosm|微观世界
melodic|有旋律的
meander|蜿蜒而行
merciless|残忍的
multidirectional|多方向的
mycology|[植]真菌学
matron|主妇
mimic|模仿
modestly|谨慎地
mormon|摩门教徒
minnesota|明尼苏达州(美国州名)
maraca|[音]沙球
mystify|迷惑
mesmerize|施催眠术
miasmic|毒气的
majestic|雄伟的
modernistic|现代的
mirage|海市蜃楼
midwestern|美国中西部的
manifesto|宣言
malfunction|故障
mermaid|美人鱼
metaphysical|形而上学的
mountainside|山腹
moralistic|狭隘道德观的
moralism|道德主义
monarchy|君主政体
meltdown|彻底垮台
modus|方法
mouldy|发霉的
modal|模态的
multifunctional|多功能的
modulation|调制
marsupial|有袋动物 a有袋动物的
multipurpose|多种用途的
metamorphic|变质的
mastodon|[古生]乳齿象
monochromatic|单色的
mania|[医]颠狂
melodrama|情节剧
mortar|灰泥
musicologist|音乐学者
multistory|多层的
midocean|海洋中央
mennonite|门诺派教徒
merchandis|商品
mimetic|模仿的
midlatitude|中间纬度
moralize|教化
megalopolis|巨大都市
miraculous|奇迹的
matrilinear|母系的
mildly|温和地
masthead|桅顶
megafossil|大化石
modicum|少量
muscularly|肌肉的
maverick|标新立异的
misconception|误解
mitigate|减轻
mason|泥瓦匠 vt. 用砖瓦砌成
magnification|扩大
melange|混合物
mandatory|命令的
mime|哑剧 v. 做哑剧表演
maw|动物的胃
mainsheet|主桅帆操纵索
mollusk|[动]软体动物
metazoan|[动]后生动物(的)
milieu|周围
mottled|有杂色的
mellow|醇香的
meridian|子午线
molten|熔化的
melanin|黑色素
muggy|闷热的
mannerism|怪癖
monastery|男修道院
maze|迷宫
maglev|磁力悬浮火车
