read|读
rice|米饭
red|红色
room|房间
river|河
restaurant|餐厅
radio|收音机
relaxing|令人放松的
right|正确的
rude|粗鲁的
responsible|负责任的
respiration|呼吸作用
reaction|反应
radiation|辐射
renewable|可再生的
recycle|回收
rainforest|雨林
register|注册
refrigerator|冰箱
remote|遥控器
road|道路
reservation|预订
receipt|收据
return|退货
research|研究
raise|提高
reach|到达
react|反应
realize|意识到
receive|接收
recognize|认出
recommend|推荐
record|记录
recover|恢复
reduce|减少
refer|参考
reflect|反映
refuse|拒绝
regret|后悔
reject|拒绝
relax|放松
release|释放
remain|保持
remember|记住
remind|提醒
remove|移除
repair|修理
repeat|重复
replace|替换
reply|回复
report|报告
request|请求
require|要求
respect|尊重
respond|回应
rest|休息
risk|冒险
rob|抢劫
roll|滚动
ruin|毁灭
run|跑
rush|冲
random|随机的
rapid|快速的
rare|稀有的
raw|生的
ready|准备好的
real|真实的
realistic|现实的
reasonable|合理的
recent|最近的
regular|规律的
related|相关的
relaxed|放松的
relevant|相关的
relieved|解脱的
religious|宗教的
reluctant|不情愿的
remaining|剩余的
remarkable|显著的
removed|移除的
repeated|重复的
required|必需的
residential|住宅的
resistant|抵抗的
respectable|可敬的
respective|各自的
retail|零售的
retired|退休的
reverse|相反的
rich|富有的
ridiculous|可笑的
rigid|僵硬的
ripe|成熟的
rough|粗糙的
round|圆的
royal|皇家的
rural|农村的
receptionist|接待员
reporter|记者
rabbit|兔子
ring|戒指
reason|原因
relationship|关系
religion|宗教
responsibility|责任
race|比赛
radiate|辐射
rake|耙
rally|集会
ram|撞击
range|排列
rank|排名
rap|敲击
rate|评价
ratify|批准
realise|意识到
reap|收获
rebel|反叛
rebuild|重建
recall|回忆
recite|背诵
recognise|识别
reconcile|和解
recruit|招募
redeem|赎回
reform|改革
refrain|避免
regain|恢复
regard|认为
regulate|调节
rehabilitate|康复
reign|统治
rejoice|高兴
relate|联系
rely|依赖
render|渲染
renew|更新
reorganise|重组
represent|代表
repress|压制
reproduce|繁殖
rescue|救援
resemble|相似
resign|辞职
resist|抵抗
resolve|解决
resort|诉诸
restore|恢复
