ugly|丑陋的
uncomfortable|不舒服的
username|用户名
update|更新
uninstall|卸载
university|大学
understand|理解
unite|联合
urge|催促
use|使用
unable|不能的
unaware|无意识的
uncertain|不确定的
unclear|不清楚的
uncommon|不常见的
unconscious|无意识的
underground|地下的
underlying|潜在的
unequal|不平等的
unfair|不公平的
unfit|不合适的
unfortunate|不幸的
unhappy|不快乐的
unhealthy|不健康的
uniform|统一的
unique|独特的
united|联合的
unknown|未知的
unless|除非的
unlike|不像的
unlikely|不太可能的
unlimited|无限的
unloaded|未装载的
unlucky|不幸的
unnatural|不自然的
unpleasant|不愉快的
unpopular|不受欢迎的
unreal|不真实的
unreasonable|不合理的
unrelated|不相关的
unreliable|不可靠的
unsatisfied|不满意的
unstable|不稳定的
unusual|不寻常的
unwilling|不愿意的
upset|沮丧的
upper|上面的
urban|城市的
used|用过的
useful|有用的
useless|无用的
usual|通常的
umbrella|雨伞
uncle|叔叔
undergo|经历
underlie|构成基础
undertake|承担
undo|撤销
undress|脱衣
unfasten|解开
unify|统一
unlock|解锁
unpack|拆包
unravel|解开
unrest|不安
unroll|展开
unscrew|拧松
unsettle|使不安
unveil|揭幕
upgrade|升级
uphold|支持
uplift|提升
upon|在...上
utilise|利用
utter|发出
uranium|元素周期表的第92个，鈾，缩写U
understandingly|理解地
usefully|有用地
understanding|理解
urbanization|城市化
urbanizations|城市化
urbanizational|城市化的
urbanizationally|城市化地
uzbekistan|乌兹别克斯坦
uzbekistans|乌兹别克斯坦
uzbek|乌兹别克的
uzbekly|乌兹别克地
ulaanbaatar|乌兰巴托
ulaanbaatars|乌兰巴托
ulaanbaatarly|乌兰巴托地
umpire|裁判
unit|单位
universe|宇宙
uncertainty|不确定性
unskilled|不熟练的
unqualified|不合格的
upload|上传
urgent|紧急的
unripe|未熟的
uptown|住宅区
underpass|地下通道
ultimate|最终的
underline|强调
undermine|破坏
unemployment|失业
unity|团结
universal|普遍的
usage|用法
utility|公用事业
utilize|利用
us|我们
user|用户
unfinished|未完成的
up|向上
usually|通常
using|使用
uk|英国
under|在…下面
until|/直到…时
universities|大学
unintentionally|无意地
underrepresented|未被充分代表的
unprecedented|史无前例的
unified|统一的
undecided|不确定的
undertaking|任务
utterly|完全地
untreated|未经处理的
unfold|展开
uneven|不均衡的
underestimate|低估
unexpected|意想不到的
untiring|不知疲倦的
utilization|利用
uninformed|无知的
untrustworthy|不值得信任的
unbiased|公正的
underfunded|资金不足的
unethical|不道德的
unrealistic|不现实的
undocumented|无证明的
underscore|强调
ultraviolet|紫外（线）的
uniformly|相同地
unpaid|未付的
underwear|衫衣
uproar|骚动
utensil|器皿
universally|普遍地
untie|解开
ultrasonic|超声的 n. 超声波
undesirable|不合需要的
uneasy|不安的
unanimous|（全体）一致的
utopian|乌托邦的
utmost|最远的 n. 极限
upright|挺直着
uncover|揭开
union|联盟
undergraduate|大学生
unfortunately|不幸地
undoubtedly|确实地
underneath|在…的下面
unload|卸
upstairs|在楼上
up-to-date|最新的
upward|向上
unpredictable|不可预知的
ultimately|最后
underwater|在水中生长的
upside|上边
unchanging|不变的
utilitarian|功利的 n功利主义者
unfamiliar|不熟悉的
understory|林下叶层
underlies|位于之下
unaided|未受协助的
unnecessary|不必要的
unevenly|不平坦地
ute|犹特人(美洲印第安人的一种)
unjust|不公平的
universality|普遍性
unbelievable|难以置信的
unimportant|不重要的
ubiquitous|到处存在的
unaltered|未被改变的
usefulness|有用
updraft|上升气流
unavoidable|不可避免的
upcoming|即将来临的
usher|引
unprotected|无保护的
understandable|可理解的
unpredictability|不可预测性
unsafe|不安全的
unbroken|不间断的
unavailable|难以获得的
undisturbed|未受干扰的
unearned|不劳而获的
unearth|掘出
uniquely|adv独特地
uncompetitive|非竞争性的
unobtainable|无法得到的
unchangeable|不变的
underfoot|在脚下面
undisputed|无可置辩的
unsuitable|不适宜的
usa|abbr. 美国(美利坚合众国)
unsatisfactory|不令人满意的
unincorporated|未联合的
utterance|意见
unexplored|[地质] 未勘查过的
upland|丘陵地
unplanned|意外的
undeveloped|不发达的
unexpectedly|出乎意料地
unionization|联合
unmatched|无与伦比的
unsung|未唱的
urbanism|都市生活
unusable|不能用的
unadorned|朴素的
unselfish|无私的
unrestricted|自由的
unemployed|失业的
understate|打着折扣说
underwing|后翅
uniformity|一致
unanswered|未答复的
unschooled|天生的
unfairly|不公平地
unsubstantiated|未经证实的
unquestionably|无可非议地
uninteresting|无趣味的
unresolved|未解决的
unsure|没有自信的
uncritical|无批判力的
understandably|可理解地
uppermost|至上的
unsuccessful|不成功的
unfavorably|不利地
uninhabited|无人居住的
uranus|天王星
unbalance|使失衡
upheaval|剧变
unhindered|无阻的
unpredictably|不可预见地
unattractive|无魅力的
unbreakable|不易破碎的
unconsciously|无意识地
undeniable|不可否认的
unacceptable|不能接受的
unprofitable|没有利润的
unparalleled|无比的
usable|[亦作useable] 可用的
unsuspected|未知的
uniformitarianism|[地质]均变论
unproven|未经证明的
uproot|连根拔起
unnecessarily|不必要地
unwieldy|笨重的
unending|不断的
upriver|上游的 ad在上游
unwelcome|不受欢迎的
unselective|非选择性的
urbanity|有礼貌
unanticipated|不曾预料到的
utah|犹他州(略作Ut
untold|未说过的
untraditional|非传统的
unwillingness|不愿意
untrue|不真实的
uncarved|没雕刻的
unfocused|未聚焦的
uncooperative|不合作的
unsureness|不确定
undernutrition|营养不良
uneducated|没受教育的
uncorrupt|不腐败的;廉洁的
unforeseen|无法预料的
uninterrupted|不停的
unspecified|未详细说明的
unfailingly|无穷尽地
undiscovered|未被发现的
uncontrollably|无法管束的
unnoticed|不被注意的
unmanageable|难处理的
unproductive|不生产的
unnoticeable|不引人注意的(
undifferentiated|无差别的
unwell|不舒服的
unobservable|不可见的
unseen|未见过的
unanimity|全体一致
unused|不用的
useable|可用的
upwind|逆风的 ad逆风地
uninhabitable|不适宜居住的
unmistakable|明显的
unwillingly|不情愿地
unavoidably|不可避免地
unpalatable|味道差的
unwary|粗心的
unread|没有人看的
upsurge|高潮 vi涌起
unoccupied|空闲的
unpublished|未公开出版的
unprocessed|未被加工的
uncooked|未煮过的
untouched|未触及的
unbridgeable|不能架桥的
urbanize|使都市化
underworld|黑社会
urgency|紧急
unpromising|没有希望的(结果未必良好的)
uniqueness|唯一性
unimaginable|不能想象的
unknowing|没查觉的
urn|瓮
unbind|解开
uncounted|无数的
unmarried|未婚的
untimely|不适时的
unquestioning|无条件的
unfertilized|未施肥的
unverified|未经证实的
uncontested|无争论的
unrecognizable|未被承认的
unreachable|不能到达的
urchin|顽童
uncharted|地图上没标明的
unconventional|非传统的
untapped|塞子未开的
unsophisticated|不谙世故的
unspoiled|未损坏的
uncrumple|去掉…的皱纹
untwist|拆开(搓合的绳
untamed|未驯服的
uncanny|神秘的
unconsolidated|松散的
ultimatum|最后通牒
u|适于各种年龄观众的
users|使用者；受限用户（user的复数）
updated|更新的；现代化的
url|[计] 统一资源定位器, 通用资源定位设备标准
usr|不加热血清反应素玻片试验（Unheated Serum Reagin）；用户服务例行程序（User Service Routine）；美国机器人公司（U.S. Robotic）
units|单位
uses|美国就业局（United States Employment Service）
usb|通用串行总线（Universal Serial Bus）
updates|升级, 更新；补充资料（update复数形式）
un|家伙, 东西
ups|不间断电源
usd|美元（USA dollar）；极限强度设计（Ultimate Strength Design）
utilities|实用工具, 实用程序；公共事业设备；公用事业；公用程式（utility的复数）
