yesterday|昨天
year|年
yellow|黄色
yes|是的
yawn|打哈欠
yell|喊叫
young|年轻的
yummy|美味的
yogurt|酸奶
yield|屈服
yodel|约德尔调
yttrium|元素周期表的第39个，釔，缩写Y
ytterbium|元素周期表的第70个，鐿，缩写Yb
youth|青春
youngly|年轻地
york|约克
yorks|约克
yorkly|约克地
yard|院子
yourself|你自己
years|年
yet|还
you|你
your|你的
yacht|游艇
yearn|渴望
yeast|酵母
youngster|儿童
yoke|轭
yolk|蛋黄
yearly|每年的 adv. 每年
yucatan|尤卡坦半岛
yarn|纱线 v. 讲故事
yew|紫杉
yale|耶鲁
yellowstone|黄石国家公园
yam|山药
yardstick|<美> 码尺
yuan|元(中国货币单位)
yean|生产
yelp|咆哮
yorkshire|约克郡
yesteryear|去年 ad过去不久的岁月
y|[计] 原型
yahoo|人面兽心的人, 乡愚, 粗汉
yeah|(非正式)是, 是的
yours|你的(东西), 你们的(东西)
ya|年轻人（young adult）；偏航轴（yaw axis）
yards|码数（yard复数形式）
yoga|瑜珈
yr|[计] 年
younger|年纪较小者
ye|亚萨卡, 乒乓底板（Yasaka Extra）；酵母抽提物（Yeast Extracts）
yo|int. 唷（表示鼓励, 警告）；嗨（表示应答）
yamaha|雅马哈（山叶）商标
yn|云南（Yun Nan）
yu|禹（传说的中国古代圣君）
yrs|年（years）；你们的（yours）
yea|肯定, 赞成, 赞成票
yemen|也门
yukon|[医] 重电子
yen|日元(日本货币单位), 渴望, 嗜好
yields|生产量, 投资效益（yield的复数形式）
yugoslavia|南斯拉夫
yang|杨（姓氏）
youthy|年轻的, 少壮的
yohimbe|(=yohimbi)育亨宾树
yperite|[化]芥子气(毒气的一种)
yarmulka|（犹太男子在祷告, 学习, 吃饭等时戴的）圆顶小帽
yacca|罗汉松(木材)
yearbook|年鉴
yachtsman|游艇驾驶者, 游艇所有者
yid|犹太人
yawp|大声叫嚷, 大声喊叫, 大发牢骚
yrbk|yearbook 年鉴
yak|牦牛, 饶舌, 连篇废话
yelped|发出短而尖的叫声( yelp的过去式和过去分词 )
yataghan|穆斯林弯刀
yawing|偏驶, 盘旋, 偏航
yamalka|(犹太男子在祷告,学习,吃饭等时戴的)圆顶小帽
yds|yards 码数
yangtao|猕猴桃
yawper|吵闹的人, 出怨言者
yenta|长舌妇, 好管闲事的女人
yemeni|也门人
youthwort|[植]毛颤苔
yelps|（因痛苦、气愤、兴奋等的）短而尖的叫声( yelp的名词复数 )
yakima|雅吉瓦人（住在美国的印第安部族人）
yarmulkes|(yarmulke 的复数) n.(犹太男子在祷告,学习,吃饭等时戴的)圆顶小帽
yauped|喧嚷声；高声喊叫声
yetapa|异尾坝(产于巴西及阿根廷)
yaps|yaw and pitch sensor 片航和前后颠簸传感器
yapper|yap的变形
yeomanly|象自由民的, 义勇骑兵的, 卫士的, 勇敢的, 刚毅的, 忠实的
ygerne|=Igraine [变体]
yokes|轭( yoke的名词复数 ); 奴役; 轭形扁担; 上衣抵肩
yukata|[单复同]<日>n.浴衣(一种和服式的轻便衣)
yellowknife|耶洛奈夫[加拿大西北部城镇](西北地区首府)
yttric|钇的, 含钇的
yeastiness|发酵, 起泡, 不安
yieldable|可缩性的
